"name","rank","change_in_rank","companyRevenue","companyProfit","companySize"
"Oneok","224","127","[{""revenues"":""16540.3"",""revenuePercentChange"":""93.6""}]","[{""profits"":""1499.7"",""profitPercentChange"":""144.7""}]","[{""assets"":""23621.6"",""marketValue"":""31516.0"",""employeeCount"":""2847""}]"
"Expeditors Intl. of Washington","225","74","[{""revenues"":""16523.5"",""revenuePercentChange"":""72.4""}]","[{""profits"":""1415.5"",""profitPercentChange"":""103.3""}]","[{""assets"":""7609.9"",""marketValue"":""17268.8"",""employeeCount"":""19070""}]"
"Advanced Micro Devices","226","83","[{""revenues"":""16434.0"",""revenuePercentChange"":""68.3""}]","[{""profits"":""3162.0"",""profitPercentChange"":""27.0""}]","[{""assets"":""12419.0"",""marketValue"":""177936.1"",""employeeCount"":""15500""}]"
"Fiserv","227","-22","[{""revenues"":""16226.0"",""revenuePercentChange"":""9.3""}]","[{""profits"":""1334.0"",""profitPercentChange"":""39.2""}]","[{""assets"":""76249.0"",""marketValue"":""66132.8"",""employeeCount"":""44000""}]"
"Estée Lauder","228","-15","[{""revenues"":""16215.0"",""revenuePercentChange"":""13.4""}]","[{""profits"":""2870.0"",""profitPercentChange"":""319.6""}]","[{""assets"":""21971.0"",""marketValue"":""97672.1"",""employeeCount"":""53320""}]"
"Bank of New York Mellon","229","-49","[{""revenues"":""16158.0"",""revenuePercentChange"":""-4.6""}]","[{""profits"":""3759.0"",""profitPercentChange"":""3.9""}]","[{""assets"":""444438.0"",""marketValue"":""40056.7"",""employeeCount"":""49100""}]"
"Laboratory Corp. of America","230","-12","[{""revenues"":""16120.9"",""revenuePercentChange"":""15.3""}]","[{""profits"":""2377.3"",""profitPercentChange"":""52.8""}]","[{""assets"":""20385.4"",""marketValue"":""24625.8"",""employeeCount"":""71725""}]"
"Regeneron Pharmaceuticals","231","123","[{""revenues"":""16071.7"",""revenuePercentChange"":""89.1""}]","[{""profits"":""8075.3"",""profitPercentChange"":""129.9""}]","[{""assets"":""25434.8"",""marketValue"":""75806.0"",""employeeCount"":""10368""}]"
"Land O'Lakes","232","-13","[{""revenues"":""15916.4"",""revenuePercentChange"":""14.1""}]","[{""profits"":""287.4"",""profitPercentChange"":""8.5""}]","[{""assets"":""9560.0"",""marketValue"":""0.0"",""employeeCount"":""9000""}]"
"Cheniere Energy","233","95","[{""revenues"":""15864.0"",""revenuePercentChange"":""69.5""}]","[{""profits"":""-2343.0"",""profitPercentChange"":""0.0""}]","[{""assets"":""39258.0"",""marketValue"":""35272.3"",""employeeCount"":""1550""}]"
"Southwest Airlines","234","102","[{""revenues"":""15790.0"",""revenuePercentChange"":""74.5""}]","[{""profits"":""977.0"",""profitPercentChange"":""0.0""}]","[{""assets"":""36320.0"",""marketValue"":""27129.3"",""employeeCount"":""55093""}]"
"Adobe","235","-1","[{""revenues"":""15785.0"",""revenuePercentChange"":""22.7""}]","[{""profits"":""4822.0"",""profitPercentChange"":""-8.3""}]","[{""assets"":""27241.0"",""marketValue"":""215280.5"",""employeeCount"":""25988""}]"
"Synchrony Financial","236","-49","[{""revenues"":""15752.0"",""revenuePercentChange"":""-4.4""}]","[{""profits"":""4221.0"",""profitPercentChange"":""204.8""}]","[{""assets"":""95748.0"",""marketValue"":""18145.5"",""employeeCount"":""18000""}]"
"Corteva","237","-23","[{""revenues"":""15655.0"",""revenuePercentChange"":""10.1""}]","[{""profits"":""1759.0"",""profitPercentChange"":""158.3""}]","[{""assets"":""42344.0"",""marketValue"":""41774.9"",""employeeCount"":""21000""}]"
"Fidelity National Financial","238","50","[{""revenues"":""15643.0"",""revenuePercentChange"":""45.1""}]","[{""profits"":""2422.0"",""profitPercentChange"":""69.7""}]","[{""assets"":""60690.0"",""marketValue"":""13849.6"",""employeeCount"":""28290""}]"
"DTE Energy","239","11","[{""revenues"":""15369.0"",""revenuePercentChange"":""26.2""}]","[{""profits"":""907.0"",""profitPercentChange"":""-33.7""}]","[{""assets"":""39719.0"",""marketValue"":""25614.6"",""employeeCount"":""10300""}]"
"Murphy USA","240","82","[{""revenues"":""15318.8"",""revenuePercentChange"":""61.2""}]","[{""profits"":""396.9"",""profitPercentChange"":""2.8""}]","[{""assets"":""4048.2"",""marketValue"":""4888.6"",""employeeCount"":""10430""}]"
"Halliburton","241","-30","[{""revenues"":""15295.0"",""revenuePercentChange"":""5.9""}]","[{""profits"":""1457.0"",""profitPercentChange"":""0.0""}]","[{""assets"":""22321.0"",""marketValue"":""34028.9"",""employeeCount"":""40000""}]"
"Automatic Data Processing","242","-34","[{""revenues"":""15005.4"",""revenuePercentChange"":""2.8""}]","[{""profits"":""2598.5"",""profitPercentChange"":""5.4""}]","[{""assets"":""48772.5"",""marketValue"":""95577.1"",""employeeCount"":""56000""}]"
"Edison International","243","-17","[{""revenues"":""14905.0"",""revenuePercentChange"":""9.8""}]","[{""profits"":""759.0"",""profitPercentChange"":""2.7""}]","[{""assets"":""74745.0"",""marketValue"":""26693.8"",""employeeCount"":""13003""}]"
"BorgWarner","244","51","[{""revenues"":""14838.0"",""revenuePercentChange"":""46.0""}]","[{""profits"":""537.0"",""profitPercentChange"":""7.4""}]","[{""assets"":""16575.0"",""marketValue"":""9335.0"",""employeeCount"":""49300""}]"
"Nordstrom","245","44","[{""revenues"":""14789.0"",""revenuePercentChange"":""38.0""}]","[{""profits"":""178.0"",""profitPercentChange"":""0.0""}]","[{""assets"":""8869.0"",""marketValue"":""4321.3"",""employeeCount"":""72000""}]"
"Loews","246","-7","[{""revenues"":""14657.0"",""revenuePercentChange"":""16.5""}]","[{""profits"":""1578.0"",""profitPercentChange"":""0.0""}]","[{""assets"":""81626.0"",""marketValue"":""15971.3"",""employeeCount"":""10340""}]"
"Guardian Life Ins. Co. of America","247","-20","[{""revenues"":""14647.8"",""revenuePercentChange"":""8.0""}]","[{""profits"":""288.8"",""profitPercentChange"":""1128.5""}]","[{""assets"":""90419.7"",""marketValue"":""0.0"",""employeeCount"":""9150""}]"
"Pioneer Natural Resources","248","180","[{""revenues"":""14643.0"",""revenuePercentChange"":""119.0""}]","[{""profits"":""2118.0"",""profitPercentChange"":""0.0""}]","[{""assets"":""36811.0"",""marketValue"":""60728.3"",""employeeCount"":""1932""}]"
"AutoZone","249","-11","[{""revenues"":""14629.6"",""revenuePercentChange"":""15.8""}]","[{""profits"":""2170.3"",""profitPercentChange"":""25.2""}]","[{""assets"":""14516.2"",""marketValue"":""40582.6"",""employeeCount"":""85050""}]"
"Lam Research","250","54","[{""revenues"":""14626.2"",""revenuePercentChange"":""45.6""}]","[{""profits"":""3908.5"",""profitPercentChange"":""73.6""}]","[{""assets"":""15892.2"",""marketValue"":""74996.7"",""employeeCount"":""14100""}]"
"American Family Insurance Group","251","-19","[{""revenues"":""14611.9"",""revenuePercentChange"":""11.8""}]","[{""profits"":""734.5"",""profitPercentChange"":""82.2""}]","[{""assets"":""36316.4"",""marketValue"":""0.0"",""employeeCount"":""13590""}]"
"Illinois Tool Works","252","-12","[{""revenues"":""14455.0"",""revenuePercentChange"":""15.0""}]","[{""profits"":""2694.0"",""profitPercentChange"":""27.7""}]","[{""assets"":""16077.0"",""marketValue"":""65311.9"",""employeeCount"":""45000""}]"
"Parker-Hannifin","253","-30","[{""revenues"":""14347.6"",""revenuePercentChange"":""4.8""}]","[{""profits"":""1746.1"",""profitPercentChange"":""44.7""}]","[{""assets"":""20341.2"",""marketValue"":""36456.8"",""employeeCount"":""54640""}]"
"Otis Worldwide","254","-18","[{""revenues"":""14298.0"",""revenuePercentChange"":""12.1""}]","[{""profits"":""1246.0"",""profitPercentChange"":""37.5""}]","[{""assets"":""12279.0"",""marketValue"":""32700.9"",""employeeCount"":""70000""}]"
"Omnicom Group","255","-26","[{""revenues"":""14289.4"",""revenuePercentChange"":""8.5""}]","[{""profits"":""1407.8"",""profitPercentChange"":""48.9""}]","[{""assets"":""28421.8"",""marketValue"":""17565.7"",""employeeCount"":""71700""}]"
"Principal Financial","256","-50","[{""revenues"":""14262.7"",""revenuePercentChange"":""-3.2""}]","[{""profits"":""1710.6"",""profitPercentChange"":""22.6""}]","[{""assets"":""304657.2"",""marketValue"":""19176.7"",""employeeCount"":""18600""}]"
"Dominion Energy","257","-64","[{""revenues"":""14218.0"",""revenuePercentChange"":""-11.8""}]","[{""profits"":""3288.0"",""profitPercentChange"":""0.0""}]","[{""assets"":""99590.0"",""marketValue"":""68883.0"",""employeeCount"":""17100""}]"
"Kellogg","258","-36","[{""revenues"":""14181.0"",""revenuePercentChange"":""3.0""}]","[{""profits"":""1488.0"",""profitPercentChange"":""18.9""}]","[{""assets"":""18178.0"",""marketValue"":""21890.2"",""employeeCount"":""31000""}]"
"Fluor","259","-63","[{""revenues"":""14156.8"",""revenuePercentChange"":""-10.9""}]","[{""profits"":""-440.2"",""profitPercentChange"":""0.0""}]","[{""assets"":""7279.6"",""marketValue"":""4051.7"",""employeeCount"":""40582""}]"
"AECOM","260","-71","[{""revenues"":""14112.4"",""revenuePercentChange"":""-13.9""}]","[{""profits"":""173.2"",""profitPercentChange"":""0.0""}]","[{""assets"":""11734.0"",""marketValue"":""10856.5"",""employeeCount"":""51000""}]"
"Reliance Steel & Aluminum","261","82","[{""revenues"":""14093.3"",""revenuePercentChange"":""59.9""}]","[{""profits"":""1413.0"",""profitPercentChange"":""282.8""}]","[{""assets"":""9536.0"",""marketValue"":""11313.5"",""employeeCount"":""13950""}]"
"Jacobs Engineering Group","262","-37","[{""revenues"":""14092.6"",""revenuePercentChange"":""3.8""}]","[{""profits"":""477.0"",""profitPercentChange"":""-3.0""}]","[{""assets"":""14632.6"",""marketValue"":""17807.4"",""employeeCount"":""53500""}]"
"Corning","263","14","[{""revenues"":""14082.0"",""revenuePercentChange"":""24.6""}]","[{""profits"":""1906.0"",""profitPercentChange"":""272.3""}]","[{""assets"":""30154.0"",""marketValue"":""31212.8"",""employeeCount"":""61200""}]"
"Farmers Insurance Exchange","264","-8","[{""revenues"":""14055.0"",""revenuePercentChange"":""18.4""}]","[{""profits"":""-366.8"",""profitPercentChange"":""0.0""}]","[{""assets"":""21740.7"",""marketValue"":""0.0"",""employeeCount"":""11787""}]"
"Qurate Retail","265","-49","[{""revenues"":""14044.0"",""revenuePercentChange"":""-0.9""}]","[{""profits"":""340.0"",""profitPercentChange"":""-71.8""}]","[{""assets"":""16249.0"",""marketValue"":""1807.4"",""employeeCount"":""26745""}]"
"Pacific Life","266","37","[{""revenues"":""13936.0"",""revenuePercentChange"":""38.5""}]","[{""profits"":""1102.0"",""profitPercentChange"":""0.0""}]","[{""assets"":""209486.0"",""marketValue"":""0.0"",""employeeCount"":""3861""}]"
"PulteGroup","267","17","[{""revenues"":""13926.9"",""revenuePercentChange"":""26.2""}]","[{""profits"":""1946.3"",""profitPercentChange"":""38.3""}]","[{""assets"":""13352.6"",""marketValue"":""10115.7"",""employeeCount"":""6182""}]"
"Fidelity National Information Services","268","-27","[{""revenues"":""13877.0"",""revenuePercentChange"":""10.6""}]","[{""profits"":""417.0"",""profitPercentChange"":""163.9""}]","[{""assets"":""82931.0"",""marketValue"":""61215.1"",""employeeCount"":""65000""}]"
"IQVIA Holdings","269","6","[{""revenues"":""13874.0"",""revenuePercentChange"":""22.1""}]","[{""profits"":""966.0"",""profitPercentChange"":""246.2""}]","[{""assets"":""24689.0"",""marketValue"":""44140.8"",""employeeCount"":""79000""}]"
"Marriott International","270","23","[{""revenues"":""13857.0"",""revenuePercentChange"":""31.1""}]","[{""profits"":""1099.0"",""profitPercentChange"":""0.0""}]","[{""assets"":""25553.0"",""marketValue"":""57514.9"",""employeeCount"":""120000""}]"
"Berry Global Group","271","-10","[{""revenues"":""13850.0"",""revenuePercentChange"":""18.3""}]","[{""profits"":""733.0"",""profitPercentChange"":""31.1""}]","[{""assets"":""17882.0"",""marketValue"":""7832.4"",""employeeCount"":""47000""}]"
"Ball","272","-12","[{""revenues"":""13811.0"",""revenuePercentChange"":""17.2""}]","[{""profits"":""878.0"",""profitPercentChange"":""50.1""}]","[{""assets"":""19714.0"",""marketValue"":""28909.1"",""employeeCount"":""24300""}]"
"Group 1 Automotive","273","13","[{""revenues"":""13801.7"",""revenuePercentChange"":""27.2""}]","[{""profits"":""552.1"",""profitPercentChange"":""92.7""}]","[{""assets"":""5749.4"",""marketValue"":""2859.9"",""employeeCount"":""13711""}]"
"Leidos Holdings","274","-26","[{""revenues"":""13737.0"",""revenuePercentChange"":""11.7""}]","[{""profits"":""753.0"",""profitPercentChange"":""19.9""}]","[{""assets"":""13261.0"",""marketValue"":""14727.7"",""employeeCount"":""43000""}]"
"Wayfair","275","-58","[{""revenues"":""13708.0"",""revenuePercentChange"":""-3.1""}]","[{""profits"":""-131.0"",""profitPercentChange"":""-170.8""}]","[{""assets"":""4570.0"",""marketValue"":""11641.6"",""employeeCount"":""16681""}]"
"Consolidated Edison","276","-27","[{""revenues"":""13676.0"",""revenuePercentChange"":""11.7""}]","[{""profits"":""1346.0"",""profitPercentChange"":""22.3""}]","[{""assets"":""63116.0"",""marketValue"":""33525.3"",""employeeCount"":""13871""}]"
"Ameriprise Financial","277","-24","[{""revenues"":""13443.0"",""revenuePercentChange"":""12.4""}]","[{""profits"":""2760.0"",""profitPercentChange"":""79.9""}]","[{""assets"":""175979.0"",""marketValue"":""33213.0"",""employeeCount"":""12000""}]"
"Xcel Energy","278","-6","[{""revenues"":""13431.0"",""revenuePercentChange"":""16.5""}]","[{""profits"":""1597.0"",""profitPercentChange"":""8.4""}]","[{""assets"":""57851.0"",""marketValue"":""39275.9"",""employeeCount"":""11321""}]"
"O'Reilly Automotive","279","-11","[{""revenues"":""13327.6"",""revenuePercentChange"":""14.8""}]","[{""profits"":""2164.7"",""profitPercentChange"":""23.5""}]","[{""assets"":""11718.7"",""marketValue"":""45410.4"",""employeeCount"":""76158""}]"
"Global Partners","280","81","[{""revenues"":""13248.3"",""revenuePercentChange"":""59.2""}]","[{""profits"":""60.8"",""profitPercentChange"":""-40.5""}]","[{""assets"":""2831.2"",""marketValue"":""927.1"",""employeeCount"":""2960""}]"
"Discover Financial Services","281","-48","[{""revenues"":""13221.0"",""revenuePercentChange"":""2.1""}]","[{""profits"":""5449.0"",""profitPercentChange"":""377.6""}]","[{""assets"":""110242.0"",""marketValue"":""31076.7"",""employeeCount"":""16700""}]"
"Rocket Companies","282","-88","[{""revenues"":""13175.6"",""revenuePercentChange"":""-17.6""}]","[{""profits"":""308.2"",""profitPercentChange"":""55.7""}]","[{""assets"":""32774.9"",""marketValue"":""21905.9"",""employeeCount"":""26000""}]"
"LKQ","283","-17","[{""revenues"":""13088.5"",""revenuePercentChange"":""12.6""}]","[{""profits"":""1090.9"",""profitPercentChange"":""70.9""}]","[{""assets"":""12606.2"",""marketValue"":""12941.4"",""employeeCount"":""46000""}]"
"W.W. Grainger","284","-26","[{""revenues"":""13022.0"",""revenuePercentChange"":""10.4""}]","[{""profits"":""1043.0"",""profitPercentChange"":""50.1""}]","[{""assets"":""6592.0"",""marketValue"":""26358.0"",""employeeCount"":""23450""}]"
"Quanta Services","285","-7","[{""revenues"":""12980.2"",""revenuePercentChange"":""15.9""}]","[{""profits"":""486.0"",""profitPercentChange"":""9.1""}]","[{""assets"":""12855.2"",""marketValue"":""18779.5"",""employeeCount"":""43700""}]"
"Crown Holdings","286","-17","[{""revenues"":""12979.0"",""revenuePercentChange"":""12.1""}]","[{""profits"":""-560.0"",""profitPercentChange"":""-196.7""}]","[{""assets"":""13858.0"",""marketValue"":""15460.6"",""employeeCount"":""26000""}]"
"Fox","287","-40","[{""revenues"":""12909.0"",""revenuePercentChange"":""4.9""}]","[{""profits"":""2150.0"",""profitPercentChange"":""115.2""}]","[{""assets"":""22926.0"",""marketValue"":""21423.2"",""employeeCount"":""9000""}]"
"Sempra","288","-33","[{""revenues"":""12857.0"",""revenuePercentChange"":""7.7""}]","[{""profits"":""1317.0"",""profitPercentChange"":""-66.5""}]","[{""assets"":""72045.0"",""marketValue"":""53087.6"",""employeeCount"":""15390""}]"
"Markel","289","22","[{""revenues"":""12846.4"",""revenuePercentChange"":""32.0""}]","[{""profits"":""2425.0"",""profitPercentChange"":""197.2""}]","[{""assets"":""48448.9"",""marketValue"":""20037.5"",""employeeCount"":""20300""}]"
"Carvana","290","193","[{""revenues"":""12814.0"",""revenuePercentChange"":""129.4""}]","[{""profits"":""-135.0"",""profitPercentChange"":""0.0""}]","[{""assets"":""7015.0"",""marketValue"":""19549.5"",""employeeCount"":""21000""}]"
"XPO Logistics","291","-101","[{""revenues"":""12806.0"",""revenuePercentChange"":""-21.2""}]","[{""profits"":""336.0"",""profitPercentChange"":""205.5""}]","[{""assets"":""8707.0"",""marketValue"":""8356.9"",""employeeCount"":""44700""}]"
"Baxter International","292","-28","[{""revenues"":""12784.0"",""revenuePercentChange"":""9.5""}]","[{""profits"":""1284.0"",""profitPercentChange"":""16.5""}]","[{""assets"":""33521.0"",""marketValue"":""39017.9"",""employeeCount"":""60000""}]"
"Ecolab","293","-56","[{""revenues"":""12733.1"",""revenuePercentChange"":""-0.1""}]","[{""profits"":""1129.9"",""profitPercentChange"":""0.0""}]","[{""assets"":""21206.4"",""marketValue"":""50548.4"",""employeeCount"":""47000""}]"
"Tractor Supply","294","-3","[{""revenues"":""12731.1"",""revenuePercentChange"":""19.9""}]","[{""profits"":""997.1"",""profitPercentChange"":""33.1""}]","[{""assets"":""7767.5"",""marketValue"":""26171.6"",""employeeCount"":""34000""}]"
"Andersons","295","71","[{""revenues"":""12728.8"",""revenuePercentChange"":""55.1""}]","[{""profits"":""104.0"",""profitPercentChange"":""1248.7""}]","[{""assets"":""4569.2"",""marketValue"":""1708.2"",""employeeCount"":""2334""}]"
"Keurig Dr Pepper","296","-29","[{""revenues"":""12683.0"",""revenuePercentChange"":""9.2""}]","[{""profits"":""2146.0"",""profitPercentChange"":""62.0""}]","[{""assets"":""50598.0"",""marketValue"":""53748.2"",""employeeCount"":""27500""}]"
"Universal Health Services","297","-27","[{""revenues"":""12642.1"",""revenuePercentChange"":""9.4""}]","[{""profits"":""991.6"",""profitPercentChange"":""5.0""}]","[{""assets"":""13093.5"",""marketValue"":""10843.1"",""employeeCount"":""78850""}]"
"CSX","298","-6","[{""revenues"":""12522.0"",""revenuePercentChange"":""18.3""}]","[{""profits"":""3781.0"",""profitPercentChange"":""36.7""}]","[{""assets"":""40531.0"",""marketValue"":""81587.8"",""employeeCount"":""20919""}]"
"Henry Schein","299","-1","[{""revenues"":""12401.0"",""revenuePercentChange"":""22.6""}]","[{""profits"":""631.2"",""profitPercentChange"":""56.3""}]","[{""assets"":""8481.1"",""marketValue"":""11960.1"",""employeeCount"":""21600""}]"
"Sonic Automotive","300","8","[{""revenues"":""12396.4"",""revenuePercentChange"":""26.9""}]","[{""profits"":""348.9"",""profitPercentChange"":""0.0""}]","[{""assets"":""4975.1"",""marketValue"":""1728.8"",""employeeCount"":""10200""}]"
"eBay","301","-25","[{""revenues"":""12394.0"",""revenuePercentChange"":""9.2""}]","[{""profits"":""13608.0"",""profitPercentChange"":""140.1""}]","[{""assets"":""26626.0"",""marketValue"":""33641.9"",""employeeCount"":""10800""}]"
"Textron","302","-37","[{""revenues"":""12382.0"",""revenuePercentChange"":""6.3""}]","[{""profits"":""746.0"",""profitPercentChange"":""141.4""}]","[{""assets"":""15827.0"",""marketValue"":""16090.6"",""employeeCount"":""33000""}]"
"Jones Financial (Edward Jones)","303","-8","[{""revenues"":""12373.0"",""revenuePercentChange"":""21.7""}]","[{""profits"":""1605.0"",""profitPercentChange"":""24.9""}]","[{""assets"":""32208.0"",""marketValue"":""0.0"",""employeeCount"":""50000""}]"
"Community Health Systems","304","-45","[{""revenues"":""12368.0"",""revenuePercentChange"":""4.9""}]","[{""profits"":""230.0"",""profitPercentChange"":""-55.0""}]","[{""assets"":""15217.0"",""marketValue"":""1598.6"",""employeeCount"":""58500""}]"
"Mosaic","305","41","[{""revenues"":""12357.4"",""revenuePercentChange"":""42.3""}]","[{""profits"":""1630.6"",""profitPercentChange"":""144.8""}]","[{""assets"":""22036.4"",""marketValue"":""24492.6"",""employeeCount"":""12525""}]"
"Thor Industries","306","62","[{""revenues"":""12317.4"",""revenuePercentChange"":""50.8""}]","[{""profits"":""659.9"",""profitPercentChange"":""195.9""}]","[{""assets"":""6654.1"",""marketValue"":""4330.9"",""employeeCount"":""31000""}]"
"Dick's Sporting Goods","307","13","[{""revenues"":""12293.4"",""revenuePercentChange"":""28.3""}]","[{""profits"":""1519.9"",""profitPercentChange"":""186.6""}]","[{""assets"":""9041.7"",""marketValue"":""7986.6"",""employeeCount"":""34300""}]"
"Newmont","308","-35","[{""revenues"":""12222.0"",""revenuePercentChange"":""6.3""}]","[{""profits"":""1166.0"",""profitPercentChange"":""-58.8""}]","[{""assets"":""40564.0"",""marketValue"":""62968.1"",""employeeCount"":""14400""}]"
"Devon Energy","309","211","[{""revenues"":""12206.0"",""revenuePercentChange"":""139.8""}]","[{""profits"":""2813.0"",""profitPercentChange"":""0.0""}]","[{""assets"":""21025.0"",""marketValue"":""39274.1"",""employeeCount"":""1600""}]"
"Warner Bros. Discovery","310","-20","[{""revenues"":""12191.0"",""revenuePercentChange"":""14.2""}]","[{""profits"":""1006.0"",""profitPercentChange"":""-17.5""}]","[{""assets"":""34427.0"",""marketValue"":""12700.5"",""employeeCount"":""11000""}]"
"J.B. Hunt Transport Services","311","4","[{""revenues"":""12168.3"",""revenuePercentChange"":""26.3""}]","[{""profits"":""760.8"",""profitPercentChange"":""50.3""}]","[{""assets"":""6794.3"",""marketValue"":""21052.9"",""employeeCount"":""33045""}]"
"Alcoa","312","18","[{""revenues"":""12152.0"",""revenuePercentChange"":""30.9""}]","[{""profits"":""429.0"",""profitPercentChange"":""0.0""}]","[{""assets"":""15025.0"",""marketValue"":""16603.4"",""employeeCount"":""12200""}]"
"Peter Kiewit Sons'","313","-70","[{""revenues"":""12149.0"",""revenuePercentChange"":""-2.5""}]","[{""profits"":""753.0"",""profitPercentChange"":""-8.8""}]","[{""assets"":""6238.0"",""marketValue"":""0.0"",""employeeCount"":""28800""}]"
"Aramark","314","-79","[{""revenues"":""12096.0"",""revenuePercentChange"":""-5.7""}]","[{""profits"":""-90.8"",""profitPercentChange"":""0.0""}]","[{""assets"":""14376.2"",""marketValue"":""9655.5"",""employeeCount"":""248300""}]"
"Vistra","315","-41","[{""revenues"":""12077.0"",""revenuePercentChange"":""5.5""}]","[{""profits"":""-1274.0"",""profitPercentChange"":""-300.3""}]","[{""assets"":""29683.0"",""marketValue"":""10434.7"",""employeeCount"":""5060""}]"
"State Street","316","-64","[{""revenues"":""12030.0"",""revenuePercentChange"":""-0.4""}]","[{""profits"":""2693.0"",""profitPercentChange"":""11.3""}]","[{""assets"":""314624.0"",""marketValue"":""31891.8"",""employeeCount"":""38784""}]"
"Unum Group","317","-87","[{""revenues"":""12013.8"",""revenuePercentChange"":""-8.7""}]","[{""profits"":""824.2"",""profitPercentChange"":""3.9""}]","[{""assets"":""70115.6"",""marketValue"":""6382.8"",""employeeCount"":""10200""}]"
"Alleghany","318","21","[{""revenues"":""12004.1"",""revenuePercentChange"":""34.9""}]","[{""profits"":""1034.9"",""profitPercentChange"":""917.1""}]","[{""assets"":""32268.7"",""marketValue"":""11396.1"",""employeeCount"":""13313""}]"
"Boston Scientific","319","-14","[{""revenues"":""11888.0"",""revenuePercentChange"":""19.9""}]","[{""profits"":""1041.0"",""profitPercentChange"":""0.0""}]","[{""assets"":""32229.0"",""marketValue"":""63310.2"",""employeeCount"":""41000""}]"
"Westlake","320","68","[{""revenues"":""11778.0"",""revenuePercentChange"":""57.0""}]","[{""profits"":""2015.0"",""profitPercentChange"":""510.6""}]","[{""assets"":""18459.0"",""marketValue"":""15785.4"",""employeeCount"":""14550""}]"
"Entergy","321","-21","[{""revenues"":""11742.9"",""revenuePercentChange"":""16.1""}]","[{""profits"":""1118.5"",""profitPercentChange"":""-19.4""}]","[{""assets"":""59454.2"",""marketValue"":""23760.4"",""employeeCount"":""12369""}]"
"International Flavors & Fragrances","322","200","[{""revenues"":""11656.0"",""revenuePercentChange"":""129.3""}]","[{""profits"":""270.0"",""profitPercentChange"":""-25.7""}]","[{""assets"":""39658.0"",""marketValue"":""33455.6"",""employeeCount"":""24000""}]"
"DaVita","323","-52","[{""revenues"":""11618.8"",""revenuePercentChange"":""0.6""}]","[{""profits"":""978.5"",""profitPercentChange"":""26.5""}]","[{""assets"":""17121.5"",""marketValue"":""10892.5"",""employeeCount"":""69000""}]"
"Mutual of Omaha Insurance","324","-42","[{""revenues"":""11459.3"",""revenuePercentChange"":""3.3""}]","[{""profits"":""579.0"",""profitPercentChange"":""-17.1""}]","[{""assets"":""49852.7"",""marketValue"":""0.0"",""employeeCount"":""5739""}]"
"Assurant","325","-23","[{""revenues"":""11410.0"",""revenuePercentChange"":""13.0""}]","[{""profits"":""1372.4"",""profitPercentChange"":""210.6""}]","[{""assets"":""33911.5"",""marketValue"":""10493.1"",""employeeCount"":""15600""}]"
"Liberty Media","326","0","[{""revenues"":""11400.0"",""revenuePercentChange"":""21.8""}]","[{""profits"":""398.0"",""profitPercentChange"":""0.0""}]","[{""assets"":""44351.0"",""marketValue"":""15239.1"",""employeeCount"":""6886""}]"
"Hormel Foods","327","-10","[{""revenues"":""11386.2"",""revenuePercentChange"":""18.5""}]","[{""profits"":""908.8"",""profitPercentChange"":""0.1""}]","[{""assets"":""12696.3"",""marketValue"":""28089.2"",""employeeCount"":""20000""}]"
"Icahn Enterprises","328","125","[{""revenues"":""11328.0"",""revenuePercentChange"":""85.0""}]","[{""profits"":""-518.0"",""profitPercentChange"":""0.0""}]","[{""assets"":""27746.0"",""marketValue"":""15237.1"",""employeeCount"":""19536""}]"
"Republic Services","329","-32","[{""revenues"":""11295.0"",""revenuePercentChange"":""11.2""}]","[{""profits"":""1290.4"",""profitPercentChange"":""33.4""}]","[{""assets"":""24955.0"",""marketValue"":""41841.7"",""employeeCount"":""35000""}]"
"Mohawk Industries","330","-9","[{""revenues"":""11200.6"",""revenuePercentChange"":""17.3""}]","[{""profits"":""1033.2"",""profitPercentChange"":""100.4""}]","[{""assets"":""14224.5"",""marketValue"":""8081.8"",""employeeCount"":""43000""}]"
"Conagra Brands","331","-48","[{""revenues"":""11184.7"",""revenuePercentChange"":""1.2""}]","[{""profits"":""1298.8"",""profitPercentChange"":""54.6""}]","[{""assets"":""22195.6"",""marketValue"":""16103.5"",""employeeCount"":""18600""}]"
"Norfolk Southern","332","-25","[{""revenues"":""11142.0"",""revenuePercentChange"":""13.8""}]","[{""profits"":""3005.0"",""profitPercentChange"":""49.3""}]","[{""assets"":""38493.0"",""marketValue"":""68389.3"",""employeeCount"":""18100""}]"
"AES","333","-20","[{""revenues"":""11141.0"",""revenuePercentChange"":""15.3""}]","[{""profits"":""-409.0"",""profitPercentChange"":""-989.1""}]","[{""assets"":""32963.0"",""marketValue"":""17172.1"",""employeeCount"":""8450""}]"
"AGCO","334","-3","[{""revenues"":""11138.3"",""revenuePercentChange"":""21.7""}]","[{""profits"":""897.0"",""profitPercentChange"":""110.0""}]","[{""assets"":""9182.1"",""marketValue"":""10885.3"",""employeeCount"":""23300""}]"
"Caesars Entertainment","335","340","[{""revenues"":""11110.0"",""revenuePercentChange"":""219.8""}]","[{""profits"":""-1019.0"",""profitPercentChange"":""0.0""}]","[{""assets"":""38031.0"",""marketValue"":""16564.6"",""employeeCount"":""49000""}]"
"Equitable Holdings","336","-92","[{""revenues"":""11036.0"",""revenuePercentChange"":""-11.1""}]","[{""profits"":""-439.0"",""profitPercentChange"":""0.0""}]","[{""assets"":""292262.0"",""marketValue"":""12041.2"",""employeeCount"":""10000""}]"
