"name","rank","change_in_rank","companyRevenue","companyProfit","companySize"
"Centene","26","-2","[{""revenues"":""125982.0"",""revenuePercentChange"":""13.4""}]","[{""profits"":""1347.0"",""profitPercentChange"":""-25.5""}]","[{""assets"":""78375.0"",""marketValue"":""49072.2"",""employeeCount"":""72500""}]"
"Meta Platforms","27","7","[{""revenues"":""117929.0"",""revenuePercentChange"":""37.2""}]","[{""profits"":""39370.0"",""profitPercentChange"":""35.1""}]","[{""assets"":""165987.0"",""marketValue"":""605251.0"",""employeeCount"":""71970""}]"
"Comcast","28","-2","[{""revenues"":""116385.0"",""revenuePercentChange"":""12.4""}]","[{""profits"":""14159.0"",""profitPercentChange"":""34.4""}]","[{""assets"":""275905.0"",""marketValue"":""212245.8"",""employeeCount"":""189000""}]"
"Phillips 66","29","19","[{""revenues"":""114852.0"",""revenuePercentChange"":""75.4""}]","[{""profits"":""1317.0"",""profitPercentChange"":""0.0""}]","[{""assets"":""55594.0"",""marketValue"":""41561.0"",""employeeCount"":""14000""}]"
"Valero Energy","30","23","[{""revenues"":""108332.0"",""revenuePercentChange"":""80.2""}]","[{""profits"":""930.0"",""profitPercentChange"":""0.0""}]","[{""assets"":""57888.0"",""marketValue"":""41572.2"",""employeeCount"":""9804""}]"
"Dell Technologies","31","-3","[{""revenues"":""106995.0"",""revenuePercentChange"":""13.6""}]","[{""profits"":""5563.0"",""profitPercentChange"":""71.2""}]","[{""assets"":""92735.0"",""marketValue"":""38164.4"",""employeeCount"":""133000""}]"
"Target","32","-2","[{""revenues"":""106005.0"",""revenuePercentChange"":""13.3""}]","[{""profits"":""6946.0"",""profitPercentChange"":""59.0""}]","[{""assets"":""53811.0"",""marketValue"":""98134.4"",""employeeCount"":""450000""}]"
"Fannie Mae","33","-8","[{""revenues"":""101543.0"",""revenuePercentChange"":""-4.6""}]","[{""profits"":""22176.0"",""profitPercentChange"":""87.9""}]","[{""assets"":""4229166.0"",""marketValue"":""909.1"",""employeeCount"":""7400""}]"
"UPS","34","1","[{""revenues"":""97287.0"",""revenuePercentChange"":""15.0""}]","[{""profits"":""12890.0"",""profitPercentChange"":""859.8""}]","[{""assets"":""69405.0"",""marketValue"":""186816.6"",""employeeCount"":""400945""}]"
"Lowe's","35","-4","[{""revenues"":""96250.0"",""revenuePercentChange"":""7.4""}]","[{""profits"":""8442.0"",""profitPercentChange"":""44.7""}]","[{""assets"":""44640.0"",""marketValue"":""133761.1"",""employeeCount"":""270000""}]"
"Bank of America","36","-7","[{""revenues"":""93851.0"",""revenuePercentChange"":""0.1""}]","[{""profits"":""31978.0"",""profitPercentChange"":""78.7""}]","[{""assets"":""3169495.0"",""marketValue"":""332433.3"",""employeeCount"":""208248""}]"
"Johnson & Johnson","37","-1","[{""revenues"":""93775.0"",""revenuePercentChange"":""13.6""}]","[{""profits"":""20878.0"",""profitPercentChange"":""41.9""}]","[{""assets"":""182018.0"",""marketValue"":""466046.7"",""employeeCount"":""141700""}]"
"Archer Daniels Midland","38","13","[{""revenues"":""85249.0"",""revenuePercentChange"":""32.5""}]","[{""profits"":""2709.0"",""profitPercentChange"":""52.9""}]","[{""assets"":""56136.0"",""marketValue"":""50769.2"",""employeeCount"":""39979""}]"
"FedEx","39","6","[{""revenues"":""83959.0"",""revenuePercentChange"":""21.3""}]","[{""profits"":""5231.0"",""profitPercentChange"":""306.8""}]","[{""assets"":""82777.0"",""marketValue"":""59971.3"",""employeeCount"":""484000""}]"
"Humana","40","1","[{""revenues"":""83064.0"",""revenuePercentChange"":""7.7""}]","[{""profits"":""2933.0"",""profitPercentChange"":""-12.9""}]","[{""assets"":""44358.0"",""marketValue"":""55154.9"",""employeeCount"":""95500""}]"
"Wells Fargo","41","-4","[{""revenues"":""82407.0"",""revenuePercentChange"":""2.6""}]","[{""profits"":""21548.0"",""profitPercentChange"":""552.8""}]","[{""assets"":""1948068.0"",""marketValue"":""184225.0"",""employeeCount"":""247848""}]"
